sAttr,d000,d001,d010,d011,d100,d101,d110,d111,igender,irandom,candidate,lvl
11400,1,2,1,1,2,2,2,1,0,0,114,0
11412,2,2,2,1,2,2,1,2,1,2,114,0
12202,1,1,1,2,2,2,1,2,0,2,122,0
12214,1,1,1,2,2,2,1,1,1,4,122,0
12404,2,2,2,2,3,2,2,1,0,4,124,0
12412,2,2,3,2,3,2,1,2,1,2,124,0
13305,3,2,2,2,3,2,2,2,0,5,133,0
13315,3,2,2,3,3,2,2,2,1,5,133,0
14202,3,2,2,3,3,2,2,2,0,2,142,0
14215,3,3,2,3,3,3,1,3,1,5,142,0
14300,2,3,2,3,3,3,2,2,0,0,143,1
14315,3,2,3,3,3,2,3,3,1,5,143,1
14505,3,3,2,4,3,3,4,3,0,5,145,1
14511,2,4,3,3,3,3,3,2,1,1,145,1
15203,2,3,2,3,3,1,2,3,0,3,152,1
15212,2,3,3,2,3,2,3,3,1,2,152,1
21302,3,2,2,2,3,2,1,1,0,2,213,0
21315,1,1,2,2,2,2,1,3,1,5,213,0
22200,2,3,2,2,2,2,2,2,0,0,222,0
22212,2,2,2,2,2,2,2,3,1,2,222,0
22304,2,2,2,2,2,2,2,1,0,4,223,0
22312,2,2,2,2,3,2,2,2,1,2,223,0
23202,2,2,2,3,2,2,2,3,0,2,232,0
23211,2,2,2,3,2,2,2,2,1,1,232,0
23305,3,3,3,3,4,3,3,3,0,5,233,1
23315,3,3,3,2,3,3,3,3,1,5,233,1
24305,3,4,3,3,3,3,3,3,0,5,243,1
24311,3,4,3,3,3,3,3,2,1,1,243,1
31500,2,3,3,2,3,3,3,1,0,0,315,0
31515,2,3,2,2,2,3,3,4,1,5,315,0
32202,2,2,2,2,2,2,2,2,0,2,322,0
32210,2,2,2,2,2,3,2,3,1,0,322,0
33203,3,3,3,3,2,3,3,3,0,3,332,1
33210,3,3,3,3,3,3,3,3,1,0,332,1
33300,3,3,3,3,3,4,3,4,0,0,333,1
33310,3,3,3,3,3,3,3,3,1,0,333,1
33402,3,3,4,3,4,4,3,3,0,2,334,1
33410,4,3,3,4,3,3,4,3,1,0,334,1
33501,3,4,4,3,4,4,4,4,0,1,335,2
33510,4,3,4,4,4,3,3,3,1,0,335,2
34403,4,3,3,4,4,4,4,3,0,3,344,2
34413,4,5,4,2,4,4,4,4,1,3,344,2
35203,2,3,4,3,3,3,4,4,0,3,352,2
35215,4,4,4,4,3,3,3,4,1,5,352,2
35305,5,4,3,4,4,4,5,4,0,5,353,2
35314,4,4,4,4,4,2,4,4,1,4,353,2
41304,2,3,2,3,2,3,2,4,0,4,413,1
41311,2,3,3,3,2,3,1,2,1,1,413,1
41504,2,3,3,4,3,3,2,2,0,4,415,1
41511,3,4,4,3,3,3,2,3,1,1,415,1
42303,3,3,2,3,4,3,3,3,0,3,423,1
42311,3,2,3,3,3,3,3,2,1,1,423,1
43500,4,4,3,4,4,4,4,5,0,0,435,2
43515,4,4,4,4,4,4,4,4,1,5,435,2
44401,4,4,4,4,4,4,4,4,0,1,444,2
44410,4,4,4,4,4,4,5,5,1,0,444,2
45203,5,4,4,3,3,4,5,5,0,3,452,2
45213,4,4,5,5,4,4,3,4,1,3,452,2
45405,5,5,5,5,5,4,4,5,0,5,454,2
45415,5,4,5,4,4,4,5,5,1,5,454,2
45504,5,5,5,5,4,5,5,5,0,4,455,2
45511,4,5,5,5,4,5,5,5,1,1,455,2
51200,3,1,3,3,5,1,2,3,0,0,512,0
51214,3,2,2,3,3,2,1,2,1,4,512,0
51305,3,4,4,2,4,3,2,4,0,5,513,1
51315,2,3,3,3,3,3,3,2,1,5,513,1
51405,4,3,3,2,2,3,2,4,0,5,514,1
51411,3,3,3,3,3,3,2,2,1,1,514,1
52402,3,4,3,3,3,4,3,2,0,2,524,2
52410,3,3,4,4,4,3,3,4,1,0,524,2
52505,3,4,4,4,4,4,3,3,0,5,525,2
52513,4,4,4,4,4,4,4,4,1,3,525,2
53200,2,3,3,4,4,3,4,4,0,0,532,2
53214,3,4,3,4,4,4,3,4,1,4,532,2
55303,5,4,5,5,4,5,5,5,0,3,553,2
55311,5,4,5,5,5,5,4,5,1,1,553,2
